Role,Section,Page/Route,Permission Level,Data Scope,Actions Allowed,Actions Denied,Notes
ao,SIEM,N/A,None,N/A,No access,Cannot access /admin/siem,SIEM is admin-only
ao,Admin Panel,N/A,None,N/A,Cannot access /admin,No admin panel access,Would get 403
ao,User Management,N/A,None,N/A,Cannot access /admin/users,No user management access,AO can view ISSM dashboard at /issm/dashboard
ao,Audit Log,/admin/audit,Read,Audit log (via _chk_role check),View audit log entries (same access as issm),Cannot export audit log (admin-only export endpoint),_chk_role check: admin or issm; AO does NOT have this access based on code check
ao,Role Shell,/switch-role-view,Downward,Can shell into ciso|issm|isso|sca + lower roles,Shell into lower roles to see their view,Cannot shell up to admin,ROLE_CAN_VIEW_DOWN[ao] = ciso + issm + isso + sca + all _LOWER_THAN_ISSO roles
ao,ISSM Dashboard,/issm/dashboard,Allowed,All ISSOs,View ISSO workload: package counts/open POA&Ms/overdue POA&Ms/productivity scores/quiz metrics for each ISSO,Cannot modify ISSO data from this view,_require_role check: admin|ao|issm
ciso,Dashboard,/dashboard,Role-scoped,Assigned systems only,View quiz activity/streak; view assigned systems,Cannot access /admin,CISO is a non-admin role
ciso,Systems,/systems,Role-scoped,Assigned systems only,List/view assigned systems,Cannot edit/delete systems,Same _can_access_system check as all non-admins
ciso,Controls,/controls,Read,All NIST controls,Browse control catalog,Cannot update system controls unless assigned to system,Catalog is global/public within platform
ciso,POA&M,/poam,Role-scoped,Assigned systems' POA&Ms,View/create/update POA&M items,Cannot delete,Standard non-admin POA&M access
ciso,Risks,/risks,Role-scoped,Assigned systems' risks,View/create/update risks,Cannot delete,Standard non-admin risk access
ciso,Observations,/observations,None,N/A,Cannot access observations,403 returned,CISO not in _OBS_ROLES; _OBS_ROLES = issm|isso|sca|auditor|system_owner|admin
ciso,ATO Documents,/ato,Role-scoped,Assigned systems,View ATO package dashboard; view per-system ATO docs,Can only edit docs where ciso is in owner_roles (none by default),CISO not listed in any ATO_DOC_TYPES owner_roles
ciso,Reports,/reports,Role-scoped,Assigned systems,View aggregated reports; generate system compliance reports,Cannot export audit log,Scoped by _user_system_ids
ciso,Admin Panel,N/A,None,N/A,No access,403,CISO is non-admin
ciso,User Management,N/A,None,N/A,No access,403,CISO cannot manage users
ciso,Audit Log,N/A,None,N/A,No access to /admin/audit,403,CISO is not in the allowed list (admin|issm|auditor)
ciso,ISSM Dashboard,/issm/dashboard,None,N/A,Cannot access,403 (_require_role check),_require_role allows admin|ao|issm only; CISO not included
ciso,Role Shell,/switch-role-view,Downward,Can shell into issm|isso|sca + lower roles,Shell into lower-tier roles,Cannot shell to ao or admin,ROLE_CAN_VIEW_DOWN[ciso] = issm + isso + sca + all _LOWER_THAN_ISSO
issm,Dashboard,/dashboard,Role-scoped,Assigned systems only,View quiz activity/streak; view assigned systems; view assigned system POA&M/risk counts,Cannot access /admin,ISSM has specialized dashboard at /issm/dashboard
issm,Systems,/systems,Role-scoped,Assigned systems only,View system detail; update system controls; view POA&Ms/risks/RMF,Cannot edit/delete system record; cannot manage assignments,_can_access_system check applies
issm,Controls,/controls,Read,All NIST controls,Browse/filter control catalog,Cannot modify catalog,In-memory read
issm,POA&M,/poam,Role-scoped,Assigned systems' POA&Ms,Full POA&M CRUD: create/view/edit/update status; auto-create from assessment; import CSV; export; manage root_cause/closure_evidence,Cannot delete POA&M items,DHS-H aligned status lifecycle
issm,Risks,/risks,Role-scoped,Assigned systems' risks,Full risk register CRUD,Cannot delete risks,residual scores tracked
issm,Observations,/observations,Role-scoped,All observations (unfiltered),View/create/update observations; promote to POA&M,Cannot approve artifacts independently,_OBS_ROLES includes issm
issm,ATO Documents,/ato,Role-scoped,Assigned systems' ATO docs,View ATO matrix and per-system docs; edit docs where issm is in owner_roles (none by default in ATO_DOC_TYPES); approve/review docs where issm is in reviewer_roles (none by default),Cannot finalize (admin-only),ISSM not explicitly listed in ATO_DOC_TYPES owner_roles or reviewer_roles; access limited to view
issm,Submissions,/submissions,Read,All submissions,View submission list and detail,Cannot update submission status,Same as other non-admin roles
issm,ISSM Dashboard,/issm/dashboard,Full (ISSM-specific),All ISSO profiles,View ISSO workload dashboard: package counts/open POA&Ms/overdue POA&Ms/productivity scores (0-100)/quiz metrics; per-ISSO system breakdown,Cannot modify ISSO profiles from this view,Productivity score formula: starts at 100; -25 overload penalty; -35 POA&M ratio penalty; -40 overdue penalty
issm,User Management,/admin/users,Read,All user profiles,View all users/roles/assignment counts (read-only),Cannot add/provision/freeze/remove users; no provisioned_token shown,_chk_role check: admin or issm allowed; issm gets read-only view
issm,Audit Log,/admin/audit,Read,Audit log,View audit log entries; filter by days/action type; paginate,Cannot export audit log,_chk_role check: admin|issm|auditor; issm has read access
issm,Teams,/systems/{id}/teams,Write,Assigned systems,Create teams and add/remove members for assigned systems,Cannot create teams for unassigned systems,role check: admin|system_owner|issm
issm,EIS Assessment,/systems/{id}/eis-assessment,Write,Assigned systems,Submit EIS self-assessment; marks system as is_eis=True; creates monitor RMF record,Cannot access if role not isso|issm|admin,Role check: issm or isso
issm,Artifact Approval,/systems/{id}/artifacts/{art_id}/approve,Write,Assigned systems' artifacts,Approve or reject evidence artifacts (sets approval_status/approved_by/approved_at),Cannot approve artifacts for unassigned systems,role check: admin|issm|auditor
issm,Role Shell,/switch-role-view,Downward,Can shell into isso|sca + lower roles,Shell into isso/sca/system_owner/auditor/bcdr/pen_tester/data_owner/pmo/incident_responder/employee,Cannot shell to ao or ciso,ROLE_CAN_VIEW_DOWN[issm] = isso + sca + all _LOWER_THAN_ISSO
isso,Dashboard,/dashboard,Role-scoped,Assigned systems only,View quiz activity/streak; view assigned systems; see POA&M/risk counts per system,Cannot access /admin,Primary workflow is system detail and POA&M management
isso,Systems,/systems,Role-scoped,Assigned systems only,View system detail; update system controls; view POA&Ms/risks/audit history,Cannot edit system record fields (admin-only edit form),_can_access_system check
isso,Controls,/controls,Read,All NIST controls,Browse control catalog,Cannot modify system control records for unassigned systems,Read access global
isso,Controls,/systems/{id}/controls,Write,Assigned systems' controls,Update control status/narrative/responsible_role/implementation_type/inheritance for assigned systems,Cannot update controls for unassigned systems,Creates/upserts SystemControl record
isso,POA&M,/poam,Role-scoped,Assigned systems' POA&Ms,Full POA&M CRUD; DHS-H lifecycle management; import CSV; export; auto-create from assessment,Cannot manage POA&Ms for unassigned systems,max_packages field limits how many systems ISSO can hold
isso,Risks,/risks,Role-scoped,Assigned systems' risks,Full risk register CRUD,Cannot delete risks,Standard non-admin risk access
isso,Observations,/observations,Role-scoped,All observations,View/create/update observations; promote observations to POA&M,Cannot approve artifacts independently,_OBS_ROLES includes isso
isso,ATO Documents,/ato,Role-scoped,Assigned systems' ATO docs,View ATO package; cannot edit most doc types (isso not in owner_roles by default),Cannot finalize/approve ATO docs,ISSO not in ATO_DOC_TYPES owner_roles or reviewer_roles for most types
isso,Submissions,Read,/submissions,All submissions,View submission list; create ATO submission for assigned system via /systems/{id}/submit,Cannot update submission status,submission_type: initial|reauthorization|significant_change|annual_review
isso,Reports,/reports,Role-scoped,Assigned systems,View reports center; generate system compliance reports,Cannot export audit log,Scoped by _user_system_ids
isso,EIS Assessment,/systems/{id}/eis-assessment,Write,Assigned systems,Submit EIS self-assessment,Cannot access for unassigned systems,Role check: isso|issm
isso,User Management,N/A,None,N/A,No access,403,ISSO cannot manage users
isso,Audit Log,N/A,None,N/A,No access to /admin/audit,403,ISSO not in allowed role list for audit
isso,Role Shell,/switch-role-view,Downward only,Can shell into system_owner|auditor|bcdr|pen_tester|data_owner|pmo|incident_responder|employee,Shell into lower-tier roles,Cannot shell to issm/ao/ciso,ROLE_CAN_VIEW_DOWN[isso] = _LOWER_THAN_ISSO list
sca,Dashboard,/dashboard,Role-scoped,Assigned systems only,View quiz activity/streak; view assigned systems,Cannot access /admin,SCA has specialized workspace at /sca/workspace
sca,Upload,/upload,Write,N/A,Upload SSP files (docx/pdf/txt/xlsx/csv) for assessment against NIST catalog,Cannot upload for unassigned systems (SSP is linked post-upload),SCA + admin are the ONLY roles permitted to upload SSPs; check: _is_admin or role == sca
sca,SCA Workspace,/sca/workspace,Full (SCA-specific),Assigned systems + all ControlEdit records,View assigned systems; view recent control edits (own edits only); view pending uploads for assigned systems,Cannot access if not admin or sca,GET /sca/workspace; role check: admin or sca
sca,Controls,/controls,Read,All NIST controls,Browse control catalog,Cannot modify catalog,In-memory read
sca,Controls,/results/{id}/controls/{ctrl}/edit,Write,Assessments where SCA is submitter or assigned to linked system,Edit control fields: narrative_excerpt/responsible_role/implementation_status/proctor_assessment,Cannot edit controls for assessments they are not authorized on,Access check: admin OR asmt.submitted_by == user OR _can_access_system
sca,Systems,/systems,Role-scoped,Assigned systems only,View system detail; view control plan,Cannot edit/delete system record,Standard non-admin system access
sca,POA&M,/poam,Role-scoped,Assigned systems' POA&Ms,View/create/update POA&M items,Cannot delete,Standard non-admin POA&M access
sca,Risks,/risks,Role-scoped,Assigned systems' risks,View/create/update risks,Cannot delete,Standard non-admin risk access
sca,Observations,/observations,Role-scoped,All observations,View/create/update observations; promote to POA&M,Cannot approve artifacts independently,_OBS_ROLES includes sca
sca,Reports,/reports,Role-scoped,Assigned systems,View reports,Cannot export audit log,Scoped by _user_system_ids
sca,Admin Panel,N/A,None,N/A,No access,403,SCA is non-admin
sca,User Management,N/A,None,N/A,No access,403,SCA cannot manage users
sca,Audit Log,N/A,None,N/A,No access,403,Not in allowed role list
sca,Role Shell,/switch-role-view,Downward,Can shell into employee only,Shell into employee role to verify limited access,Cannot shell to any other role,ROLE_CAN_VIEW_DOWN[sca] = ['employee']
auditor,Dashboard,/dashboard,Role-scoped,Assigned systems only,View quiz activity/streak; view assigned systems,Cannot access /admin,Auditor focuses on assessment and audit trail review
auditor,Systems,/systems,Role-scoped,Assigned systems only,View system detail; view control plan,Cannot edit/delete system records or manage assignments,Read-only access to system data
auditor,Controls,/controls,Read,All NIST controls,Browse control catalog,Cannot update system controls,In-memory read
auditor,POA&M,/poam,Role-scoped,Assigned systems' POA&Ms,View POA&M items; create new items; update status,Cannot delete POA&M items,Standard non-admin access
auditor,Risks,/risks,Role-scoped,Assigned systems' risks,View risk register; create/update risks,Cannot delete,Standard non-admin risk access
auditor,Observations,/observations,Role-scoped,All observations,View/create/update observations; promote to POA&M,Cannot approve artifacts independently (auditor CAN approve via /artifacts/approve),_OBS_ROLES includes auditor; artifact approve: admin|issm|auditor
auditor,ATO Documents,/ato,Role-scoped,Assigned systems' ATO docs,View ATO package; can edit SAP/SAR/3PAO-related doc types (auditor in owner_roles); can review/approve SSP-type docs (auditor in reviewer_roles for SSP),Cannot finalize documents (admin-only),ATO_DOC_TYPES: owner_roles for SAP/SAR/RAR_HIGH/RAR_MOD/TIMELINESS/3PAO_PERF/3PAO_RAR_GUIDE/SAR_APP_A/SAR_APP_B_HIGH/SAR_APP_B_MOD/SAR_APP_B_LOW/ANNUAL_CTRL_SEL/PENTEST_GUIDE/VULN_CONTAINERS = [auditor|admin]
auditor,Audit Log,/admin/audit,Read,Audit log,View/filter audit log entries; paginate (page size 10-100),Cannot export audit log (admin-only),_chk_role check: admin|issm|auditor — auditor has READ access
auditor,Reports,/reports,Role-scoped,Assigned systems,View reports center; generate system compliance reports,Cannot export audit log as file,Scoped by _user_system_ids
auditor,Artifact Approval,/systems/{id}/artifacts/{art_id}/approve,Write,Assigned systems' artifacts,Approve or reject evidence artifacts,Cannot approve artifacts for unassigned systems,role check: admin|issm|auditor
auditor,Admin Panel,N/A,None,N/A,No access,403,Auditor is non-admin
auditor,User Management,N/A,None,N/A,No access,403,Cannot manage users
auditor,SIEM,N/A,None,N/A,No access to /admin/siem,403,SIEM is admin-only
auditor,Role Shell,N/A,None,N/A,Cannot shell; no entries in ROLE_CAN_VIEW_DOWN for auditor,N/A,auditor not in ROLE_CAN_VIEW_DOWN dict
bcdr,Dashboard,/dashboard,Role-scoped,Assigned systems only,View quiz activity/streak; view assigned systems,Cannot access /admin,BCDR has specialized dashboard at /bcdr/dashboard
bcdr,BCDR Dashboard,/bcdr/dashboard,Full (BCDR-specific),All open BCDR events + assigned systems,View pending sign-offs for current user; view open BCDR events with sign-off progress; trigger new BCDR events (drill/incident/recovery/test) via modal,Cannot access if role not bcdr|system_owner|admin,Pending sign-offs filtered to current user; open_events limited to 30; auto-creates BcdrSignoff rows for team members
bcdr,BCDR Events,/bcdr/events,Write,N/A,Create BCDR events; set system/team/event_type/title/target_rto/target_rpo,Cannot create events for unassigned systems indirectly,POST; auto-creates BcdrSignoff records for team members
bcdr,BCDR Sign-off,/bcdr/events/{id}/signoff,Write,Own pending sign-offs only,Sign off on BCDR event as the current user with notes,Cannot sign off as another user,POST; requires pending BcdrSignoff record for this user
bcdr,Systems,/systems,Role-scoped,Assigned systems only,View system detail,Cannot edit/delete system records,Standard non-admin system access
bcdr,Controls,/controls,Read,All NIST controls,Browse control catalog,Cannot update system controls,In-memory read
bcdr,POA&M,/poam,Role-scoped,Assigned systems' POA&Ms,View/create/update POA&M items,Cannot delete,Standard non-admin access
bcdr,Teams,/systems/{id}/teams,Read,Assigned systems' teams,View team membership (needed for BCDR operations),Cannot create teams (system_owner|issm|admin only),GET /systems/{id}/teams returns JSON
bcdr,Reports,/reports,Role-scoped,Assigned systems,View reports center,Cannot export audit log,Scoped by _user_system_ids
bcdr,Admin Panel,N/A,None,N/A,No access,403,BCDR is non-admin
bcdr,User Management,N/A,None,N/A,No access,403,Cannot manage users
bcdr,Audit Log,N/A,None,N/A,No access,403,Not in allowed role list
bcdr,Role Shell,N/A,None,N/A,Cannot shell; no entries in ROLE_CAN_VIEW_DOWN for bcdr,N/A,bcdr not in ROLE_CAN_VIEW_DOWN dict
system_owner,Dashboard,/dashboard,Role-scoped,Assigned systems only,View quiz activity/streak; view assigned systems,Cannot access /admin,System Owner has specialized dashboard at /system-owner/dashboard
system_owner,System Owner Dashboard,/system-owner/dashboard,Full (SO-specific),Assigned systems only,View owned systems with POA&M/risk/team counts; manage ATO document packages; manage teams; initiate submissions,Cannot access if role not system_owner|admin,Renders system_owner_dashboard.html
system_owner,Systems,/systems,Role-scoped,Assigned systems only,View system detail; update system controls; view POA&Ms/risks/RMF,Cannot edit system record (admin-only edit form); cannot delete,Standard non-admin access plus control plan edit
system_owner,Controls,/systems/{id}/controls,Write,Assigned systems' controls,Update control status/narrative/implementation for assigned systems,Cannot update for unassigned systems,Creates/upserts SystemControl records
system_owner,POA&M,/poam,Role-scoped,Assigned systems' POA&Ms,Full POA&M CRUD; CSV import; export; auto-create from assessment,Cannot manage POA&Ms for unassigned systems,DHS-H lifecycle
system_owner,Risks,/risks,Role-scoped,Assigned systems' risks,Full risk register CRUD,Cannot delete risks,Standard non-admin risk access
system_owner,Observations,/observations,Role-scoped,All observations,View/create/update observations; promote to POA&M,Cannot approve artifacts independently,_OBS_ROLES includes system_owner
system_owner,ATO Documents,/ato,Role-scoped,Assigned systems' ATO docs,View ATO matrix; edit most core doc types where system_owner is in owner_roles; submit for review,Cannot finalize/approve ATO docs,system_owner is in owner_roles for: FIPS199/SSP/ABD/NET_DIAGRAM/HW_INV/SW_INV/IRP/CP/CPT/CMP/CONMON/PTA/PIA/ROB/ISA/POAM + many FedRAMP appendices
system_owner,Teams,/systems/{id}/teams,Write,Assigned systems,Create/manage teams; add/remove team members,Cannot manage teams for unassigned systems,role check: admin|system_owner|issm
system_owner,BCDR,/bcdr/dashboard,Write,All BCDR events + assigned systems,View and trigger BCDR events; sign off events,Cannot access if not bcdr|system_owner|admin,system_owner has same BCDR access as bcdr role
system_owner,Reports,/reports,Role-scoped,Assigned systems,View reports; generate system compliance reports,Cannot export audit log,Scoped by _user_system_ids
system_owner,Submissions,/systems/{id}/submit,Write,Assigned systems,Create ATO submission package (initial/reauth/significant_change/annual_review); set authorization_type/term_months,Cannot update submission status (admin-only),submission creates Submission record with control snapshot
system_owner,EIS Assessment,/systems/{id}/eis-assessment,None,N/A,Cannot access; restricted to isso|issm roles,403 returned,role check: isso|issm only
system_owner,Admin Panel,N/A,None,N/A,No access,403,system_owner is non-admin
system_owner,User Management,N/A,None,N/A,No access,403,Cannot manage users
system_owner,Audit Log,N/A,None,N/A,No access,403,Not in allowed role list
