control_id,title,confidentiality,integrity,availability,overlays,csf_categories,source_url
AT-6,Training Feedback,,,,"DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)",None,https://app.xylok.io/reference/controls/control/AT-6/
AU-1,Policy and Procedures,,,,"CMMC, DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)","DE.DP-2, ID.GV-1, ID.GV-3, PR.PT-1",https://app.xylok.io/reference/controls/control/AU-1/
AU-2,Event Logging,,,,"CMMC, DAF Baseline, Int-A, Int-B, Int-C, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)",PR.PT-1,https://app.xylok.io/reference/controls/control/AU-2/
AU-3,Content of Audit Records,,,,"CMMC, DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate)",PR.PT-1,https://app.xylok.io/reference/controls/control/AU-3/
AU-4,Audit Log Storage Capacity,,,,"DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate)",PR.DS-4,https://app.xylok.io/reference/controls/control/AU-4/
AU-5,Response to Audit Logging Process Failures,,,,"CMMC, DAF Baseline, Privacy (high), Privacy (moderate)",None,https://app.xylok.io/reference/controls/control/AU-5/
AU-6,"Audit Record Review, Analysis, and Reporting",,,,"CMMC, Classified, DAF Baseline, Int-A, Int-B, Int-C, Privacy (high), Privacy (moderate)","DE.AE-2, DE.AE-3, DE.DP-4, ID.SC-4, PR.PT-1, RS.AN-1, RS.CO-2",https://app.xylok.io/reference/controls/control/AU-6/
AU-7,Audit Record Reduction and Report Generation,,,,"CMMC, DAF Baseline, Int-A, Int-B, Int-C, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate)","PR.PT-1, RS.AN-3",https://app.xylok.io/reference/controls/control/AU-7/
AU-8,Time Stamps,,,,"CMMC, DAF Baseline",None,https://app.xylok.io/reference/controls/control/AU-8/
AU-9,Protection of Audit Information,,,,"CMMC, DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)",None,https://app.xylok.io/reference/controls/control/AU-9/
AU-10,Non-repudiation,,,,"DAF Baseline, Int-A, Int-B, Int-C, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)",None,https://app.xylok.io/reference/controls/control/AU-10/
AU-11,Audit Record Retention,,,,"CMMC, DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)",None,https://app.xylok.io/reference/controls/control/AU-11/
AU-12,Audit Record Generation,,,,"CMMC, Classified, DAF Baseline, Int-A, Int-B, Int-C, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)","DE.CM-1, DE.CM-3, DE.CM-7, PR.PT-1",https://app.xylok.io/reference/controls/control/AU-12/
AU-13,Monitoring for Information Disclosure,,,,DAF Baseline,"DE.CM-3, PR.DS-5, PR.PT-1",https://app.xylok.io/reference/controls/control/AU-13/
AU-14,Session Audit,,,,"Classified, DAF Baseline, Int-A, Int-B, Int-C, Privacy (high), Privacy (moderate)",PR.PT-1,https://app.xylok.io/reference/controls/control/AU-14/
AU-16,Cross-organizational Audit Logging,,,,"Classified, DAF Baseline, Int-A, Int-B, Int-C",PR.PT-1,https://app.xylok.io/reference/controls/control/AU-16/
CA-1,Policy and Procedures,,,,"CMMC, DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)","DE.DP-2, ID.GV-1, ID.GV-3, RS.AN-5",https://app.xylok.io/reference/controls/control/CA-1/
CA-2,Control Assessments,,,,"CMMC, DAF Baseline, Privacy (accountability), Privacy Control Baseline (CNSSI 1253)","DE.DP-1, DE.DP-2, DE.DP-3, DE.DP-4, DE.DP-5, ID.RA-1, ID.RA-5, ID.SC-4, PR.IP-7, RS.AN-5, RS.MI-3",https://app.xylok.io/reference/controls/control/CA-2/
CA-3,Information Exchange,,,,"CMMC, Classified, DAF Baseline, Int-A, Int-B, Int-C, NC3, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate)","DE.AE-1, ID.AM-3",https://app.xylok.io/reference/controls/control/CA-3/
CA-5,Plan of Action and Milestones,,,,"CMMC, DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)","ID.RA-1, ID.RA-6",https://app.xylok.io/reference/controls/control/CA-5/
CA-6,Authorization,,,,"DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)",None,https://app.xylok.io/reference/controls/control/CA-6/
CA-7,Continuous Monitoring,,,,"CMMC, DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)","DE.AE-2, DE.AE-3, DE.CM-1, DE.CM-2, DE.CM-3, DE.CM-6, DE.CM-7, DE.DP-1, DE.DP-2, DE.DP-3, DE.DP-4, DE.DP-5, ID.RA-1, ID.RA-5, ID.SC-4, PR.IP-7, PR.IP-8, RS.AN-1, RS.MI-3",https://app.xylok.io/reference/controls/control/CA-7/
CA-8,Penetration Testing,,,,"DAF Baseline, Privacy (high)","ID.RA-1, PR.IP-7",https://app.xylok.io/reference/controls/control/CA-8/
CA-9,Internal System Connections,,,,"DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate)",ID.AM-3,https://app.xylok.io/reference/controls/control/CA-9/
CM-1,Policy and Procedures,,,,"CMMC, DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)","DE.DP-2, ID.GV-1, ID.GV-3, PR.IP-1",https://app.xylok.io/reference/controls/control/CM-1/
CM-2,Baseline Configuration,,,,"CMMC, DAF Baseline, Privacy (high), Privacy (moderate)","DE.AE-1, PR.DS-7, PR.IP-1",https://app.xylok.io/reference/controls/control/CM-2/
CM-3,Configuration Change Control,,,,"CMMC, DAF Baseline, Privacy (high), Privacy (moderate)","DE.CM-1, DE.CM-7, PR.IP-1, PR.IP-3",https://app.xylok.io/reference/controls/control/CM-3/
CM-4,Impact Analyses,,,,"CMMC, DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)","PR.IP-1, PR.IP-3",https://app.xylok.io/reference/controls/control/CM-4/
CM-5,Access Restrictions for Change,,,,"CMMC, DAF Baseline",PR.IP-1,https://app.xylok.io/reference/controls/control/CM-5/
CM-6,Configuration Settings,,,,"CMMC, DAF Baseline",PR.IP-1,https://app.xylok.io/reference/controls/control/CM-6/
CM-7,Least Functionality,,,,"CMMC, DAF Baseline","PR.IP-1, PR.PT-3",https://app.xylok.io/reference/controls/control/CM-7/
CM-8,System Component Inventory,,,,"CMMC, DAF Baseline","DE.CM-7, ID.AM-1, ID.AM-2, PR.DS-3",https://app.xylok.io/reference/controls/control/CM-8/
CM-9,Configuration Management Plan,,,,DAF Baseline,PR.IP-1,https://app.xylok.io/reference/controls/control/CM-9/
CM-10,Software Usage Restrictions,,,,DAF Baseline,DE.CM-3,https://app.xylok.io/reference/controls/control/CM-10/
CM-11,User-installed Software,,,,DAF Baseline,DE.CM-3,https://app.xylok.io/reference/controls/control/CM-11/
CM-12,Information Location,,,,"CMMC, DAF Baseline, Int-A, Int-B, Int-C",None,https://app.xylok.io/reference/controls/control/CM-12/
CM-13,Data Action Mapping,,,,DAF Baseline,None,https://app.xylok.io/reference/controls/control/CM-13/
CM-14,Signed Components,,,,DAF Baseline,None,https://app.xylok.io/reference/controls/control/CM-14/
CP-1,Policy and Procedures,,,,"DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)","DE.DP-2, ID.GV-1, ID.GV-3, PR.IP-9",https://app.xylok.io/reference/controls/control/CP-1/
CP-2,Contingency Plan,,,,"DAF Baseline, Privacy (high), Privacy (low), Privacy (moderate)","DE.AE-3, DE.AE-4, ID.AM-5, ID.AM-6, ID.BE-4, ID.BE-5, ID.RA-4, ID.SC-5, PR.DS-4, PR.IP-7, PR.IP-8, PR.IP-9, RC.CO-3, RC.IM-1, RC.IM-2, RS.AN-2, RS.AN-4, RS.CO-1, RS.CO-3, RS.CO-4, RS.IM-1, RS.IM-2, RS.RP-1",https://app.xylok.io/reference/controls/control/CP-2/
CP-3,Contingency Training,,,,DAF Baseline,"PR.AT-5, RS.CO-1",https://app.xylok.io/reference/controls/control/CP-3/
CP-4,Contingency Plan Testing,,,,DAF Baseline,"ID.SC-5, PR.IP-10, PR.IP-4, PR.IP-7",https://app.xylok.io/reference/controls/control/CP-4/
CP-6,Alternate Storage Site,,,,DAF Baseline,PR.IP-4,https://app.xylok.io/reference/controls/control/CP-6/
CP-7,Alternate Processing Site,,,,DAF Baseline,"PR.IP-9, PR.PT-5",https://app.xylok.io/reference/controls/control/CP-7/
CP-8,Telecommunications Services,,,,DAF Baseline,"ID.BE-4, PR.PT-4, PR.PT-5",https://app.xylok.io/reference/controls/control/CP-8/
CP-9,System Backup,,,,"CMMC, DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate)",PR.IP-4,https://app.xylok.io/reference/controls/control/CP-9/
CP-10,System Recovery and Reconstitution,,,,"DAF Baseline, Privacy (high), Privacy (moderate)","PR.IP-9, RC.RP-1, RS.RP-1",https://app.xylok.io/reference/controls/control/CP-10/
CP-11,Alternate Communications Protocols,,,,"DAF Baseline, NC3","ID.BE-5, PR.PT-5",https://app.xylok.io/reference/controls/control/CP-11/
CP-12,Safe Mode,,,,"DAF Baseline, NC3, Space Platform",PR.PT-5,https://app.xylok.io/reference/controls/control/CP-12/
CP-13,Alternative Security Mechanisms,,,,"DAF Baseline, NC3, Space Platform",PR.PT-5,https://app.xylok.io/reference/controls/control/CP-13/
IA-1,Policy and Procedures,,,,"CMMC, DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)","DE.DP-2, ID.GV-1, ID.GV-3, PR.AC-1, PR.AC-6, PR.AC-7",https://app.xylok.io/reference/controls/control/IA-1/
IA-2,Identification and Authentication (Organizational Users),,,,"CMMC, Classified, DAF Baseline, Int-A, Int-B, Int-C, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate)","PR.AC-1, PR.AC-6, PR.AC-7",https://app.xylok.io/reference/controls/control/IA-2/
IA-3,Device Identification and Authentication,,,,"CMMC, DAF Baseline","PR.AC-1, PR.AC-7",https://app.xylok.io/reference/controls/control/IA-3/
IA-4,Identifier Management,,,,"CMMC, DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate)","PR.AC-1, PR.AC-6",https://app.xylok.io/reference/controls/control/IA-4/
IA-5,Authenticator Management,,,,"CMMC, DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate)","PR.AC-1, PR.AC-6, PR.AC-7",https://app.xylok.io/reference/controls/control/IA-5/
IA-6,Authentication Feedback,,,,"CMMC, DAF Baseline",None,https://app.xylok.io/reference/controls/control/IA-6/
IA-7,Cryptographic Module Authentication,,,,"DAF Baseline, Privacy (high), Privacy (moderate)",PR.AC-1,https://app.xylok.io/reference/controls/control/IA-7/
IA-8,Identification and Authentication (Non-organizational Users),,,,"DAF Baseline, Privacy (high), Privacy (low), Privacy (moderate)","PR.AC-1, PR.AC-6, PR.AC-7",https://app.xylok.io/reference/controls/control/IA-8/
IA-9,Service Identification and Authentication,,,,DAF Baseline,"PR.AC-1, PR.AC-7",https://app.xylok.io/reference/controls/control/IA-9/
IA-10,Adaptive Authentication,,,,DAF Baseline,"PR.AC-1, PR.AC-7",https://app.xylok.io/reference/controls/control/IA-10/
IA-11,Re-authentication,,,,"CMMC, DAF Baseline","PR.AC-1, PR.AC-7",https://app.xylok.io/reference/controls/control/IA-11/
IA-12,Identity Proofing,,,,"DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate)","PR.AC-1, PR.AC-6",https://app.xylok.io/reference/controls/control/IA-12/
IA-13,Identity Providers and Authorization Servers,,,,DAF Baseline,None,https://app.xylok.io/reference/controls/control/IA-13/
IR-1,Policy and Procedures,,,,"CMMC, DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)","DE.DP-2, ID.GV-1, ID.GV-3, PR.IP-9",https://app.xylok.io/reference/controls/control/IR-1/
IR-2,Incident Response Training,,,,"CMMC, DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)",PR.AT-5,https://app.xylok.io/reference/controls/control/IR-2/
IR-3,Incident Response Testing,,,,"CMMC, DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)","ID.SC-5, PR.IP-10, PR.IP-7, RS.CO-1",https://app.xylok.io/reference/controls/control/IR-3/
IR-4,Incident Handling,,,,"CMMC, DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)","DE.AE-2, DE.AE-3, DE.AE-4, DE.AE-5, ID.SC-5, RC.CO-1, RC.CO-2, RC.CO-3, RC.IM-1, RC.IM-2, RC.RP-1, RS.AN-1, RS.AN-2, RS.AN-3, RS.AN-4, RS.CO-3, RS.CO-4, RS.IM-1, RS.IM-2, RS.MI-1, RS.MI-2, RS.RP-1",https://app.xylok.io/reference/controls/control/IR-4/
IR-5,Incident Monitoring,,,,"CMMC, DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)","DE.AE-3, DE.AE-5, RS.AN-1, RS.AN-4",https://app.xylok.io/reference/controls/control/IR-5/
IR-6,Incident Reporting,,,,"CMMC, Classified, DAF Baseline, Int-A, Int-B, Int-C, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)",RS.CO-2,https://app.xylok.io/reference/controls/control/IR-6/
IR-7,Incident Response Assistance,,,,"CMMC, DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)",PR.IP-9,https://app.xylok.io/reference/controls/control/IR-7/
IR-8,Incident Response Plan,,,,"CMMC, DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)","DE.AE-3, DE.AE-5, ID.SC-5, PR.IP-7, PR.IP-8, PR.IP-9, RC.IM-1, RC.IM-2, RC.RP-1, RS.AN-4, RS.CO-1, RS.CO-2, RS.CO-3, RS.CO-4, RS.IM-1, RS.IM-2, RS.RP-1",https://app.xylok.io/reference/controls/control/IR-8/
IR-9,Information Spillage Response,,,,"Classified, DAF Baseline, Int-A, Int-B, Int-C","ID.SC-5, PR.IP-9",https://app.xylok.io/reference/controls/control/IR-9/
MA-1,Policy and Procedures,,,,"CMMC, DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate)","DE.DP-2, ID.GV-1, ID.GV-3, PR.MA-1",https://app.xylok.io/reference/controls/control/MA-1/
MA-2,Controlled Maintenance,,,,"DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate)",PR.MA-1,https://app.xylok.io/reference/controls/control/MA-2/
MA-3,Maintenance Tools,,,,"CMMC, DAF Baseline",PR.MA-1,https://app.xylok.io/reference/controls/control/MA-3/
MA-4,Nonlocal Maintenance,,,,"CMMC, DAF Baseline",PR.MA-2,https://app.xylok.io/reference/controls/control/MA-4/
MA-5,Maintenance Personnel,,,,"CMMC, DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate)",PR.MA-1,https://app.xylok.io/reference/controls/control/MA-5/
MA-6,Timely Maintenance,,,,DAF Baseline,PR.MA-1,https://app.xylok.io/reference/controls/control/MA-6/
MA-7,Field Maintenance,,,,"CDS - Access, CDS - Multilevel, CDS - Transfer, DAF Baseline",None,https://app.xylok.io/reference/controls/control/MA-7/
MP-1,Policy and Procedures,,,,"CMMC, Classified, DAF Baseline, Int-A, Int-B, Int-C, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)","DE.DP-2, ID.GV-1, ID.GV-3, PR.PT-2",https://app.xylok.io/reference/controls/control/MP-1/
MP-2,Media Access,,,,"CMMC, Classified, DAF Baseline, Int-A, Int-B, Int-C, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate)","PR.DS-1, PR.PT-2",https://app.xylok.io/reference/controls/control/MP-2/
MP-3,Media Marking,,,,"CMMC, Classified, DAF Baseline, Int-A, Int-B, Int-C, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate)","PR.DS-1, PR.PT-2",https://app.xylok.io/reference/controls/control/MP-3/
MP-4,Media Storage,,,,"CMMC, Classified, DAF Baseline, Int-A, Int-B, Int-C, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate)","PR.DS-1, PR.PT-2",https://app.xylok.io/reference/controls/control/MP-4/
MP-5,Media Transport,,,,"CMMC, Classified, DAF Baseline, Int-A, Int-B, Int-C, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate)","PR.DS-1, PR.PT-2",https://app.xylok.io/reference/controls/control/MP-5/
MP-6,Media Sanitization,,,,"CMMC, Classified, DAF Baseline, Int-A, Int-B, Int-C, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate)","PR.DS-1, PR.DS-3, PR.IP-6",https://app.xylok.io/reference/controls/control/MP-6/
MP-7,Media Use,,,,"CMMC, Classified, DAF Baseline, Int-A, Int-B, Int-C, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate)","PR.DS-1, PR.PT-2",https://app.xylok.io/reference/controls/control/MP-7/
MP-8,Media Downgrading,,,,"CDS - Access, CDS - Multilevel, CDS - Transfer, Classified, DAF Baseline, Int-A, Int-B, Int-C","PR.DS-1, PR.PT-2",https://app.xylok.io/reference/controls/control/MP-8/
PE-1,Policy and Procedures,,,,"CMMC, DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)","DE.DP-2, ID.GV-1, ID.GV-3, PR.AC-2, PR.IP-5",https://app.xylok.io/reference/controls/control/PE-1/
PE-2,Physical Access Authorizations,,,,"CMMC, DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)","PR.AC-2, PR.AC-6",https://app.xylok.io/reference/controls/control/PE-2/
PE-3,Physical Access Control,,,,"CMMC, DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate)",PR.AC-2,https://app.xylok.io/reference/controls/control/PE-3/
PE-4,Access Control for Transmission,,,,"CMMC, Classified, DAF Baseline, Int-A, Int-B, Int-C",PR.AC-2,https://app.xylok.io/reference/controls/control/PE-4/
PE-5,Access Control for Output Devices,,,,"CMMC, DAF Baseline, Int-A, Int-B, Int-C, Privacy (high), Privacy (moderate)",PR.AC-2,https://app.xylok.io/reference/controls/control/PE-5/
PE-6,Monitoring Physical Access,,,,"CMMC, DAF Baseline","DE.CM-2, DE.CM-7, PR.AC-2, RS.AN-1, RS.CO-4",https://app.xylok.io/reference/controls/control/PE-6/
PE-8,Visitor Access Records,,,,"DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)",PR.AC-2,https://app.xylok.io/reference/controls/control/PE-8/
PE-9,Power Equipment and Cabling,,,,DAF Baseline,"ID.BE-4, PR.AC-2",https://app.xylok.io/reference/controls/control/PE-9/
PE-10,Emergency Shutoff,,,,DAF Baseline,None,https://app.xylok.io/reference/controls/control/PE-10/
PE-11,Emergency Power,,,,DAF Baseline,"ID.BE-4, PR.DS-4, PR.PT-5",https://app.xylok.io/reference/controls/control/PE-11/
PE-12,Emergency Lighting,,,,DAF Baseline,None,https://app.xylok.io/reference/controls/control/PE-12/
PE-13,Fire Protection,,,,DAF Baseline,None,https://app.xylok.io/reference/controls/control/PE-13/
PE-14,Environmental Controls,,,,DAF Baseline,None,https://app.xylok.io/reference/controls/control/PE-14/
PE-15,Water Damage Protection,,,,DAF Baseline,None,https://app.xylok.io/reference/controls/control/PE-15/
PE-16,Delivery and Removal,,,,DAF Baseline,PR.DS-3,https://app.xylok.io/reference/controls/control/PE-16/
PE-17,Alternate Work Site,,,,"CMMC, DAF Baseline, Privacy (high), Privacy (moderate)",None,https://app.xylok.io/reference/controls/control/PE-17/
PE-18,Location of System Components,,,,"DAF Baseline, Privacy (high)",None,https://app.xylok.io/reference/controls/control/PE-18/
PE-19,Information Leakage,,,,"CDS - Access, CDS - Multilevel, CDS - Transfer, Classified, DAF Baseline, Int-A, Int-B, Int-C, Space Platform",PR.DS-5,https://app.xylok.io/reference/controls/control/PE-19/
PE-20,Asset Monitoring and Tracking,,,,"DAF Baseline, Space Platform","DE.CM-2, DE.CM-7, PR.DS-3",https://app.xylok.io/reference/controls/control/PE-20/
PE-21,Electromagnetic Pulse Protection,,,,"DAF Baseline, Space Platform",None,https://app.xylok.io/reference/controls/control/PE-21/
PE-22,Component Marking,,,,"Classified, DAF Baseline, Int-A, Int-B, Int-C",None,https://app.xylok.io/reference/controls/control/PE-22/
PE-23,Facility Location,,,,DAF Baseline,None,https://app.xylok.io/reference/controls/control/PE-23/
PL-1,Policy and Procedures,,,,"CMMC, DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)","DE.DP-2, ID.GV-1, ID.GV-3",https://app.xylok.io/reference/controls/control/PL-1/
PL-2,System Security and Privacy Plans,,,,"CMMC, DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)","DE.DP-5, PR.IP-7",https://app.xylok.io/reference/controls/control/PL-2/
